subjects	S	age	R	rt
1	left	age25	right	1.32236990339396
1	left	age25	left	0.811952129020826
1	right	age25	right	0.777352574495819
1	left	age25	left	0.615004400284559
1	left	age25	right	1.12146711517394
1	right	age25	left	0.712655001338911
1	right	age25	right	0.915683918760467
1	left	age25	left	0.978327051776103
1	right	age25	right	0.534656582969951
1	right	age25	right	0.577934171403367
1	left	age25	left	0.518620330748902
1	left	age25	right	0.86917409783732
1	right	age25	left	1.43813966004461
1	left	age25	left	0.65627528613795
1	right	age25	right	1.51943523901545
1	left	age25	left	0.613588133657618
1	right	age25	left	0.622205243265352
1	left	age25	right	0.630976112927162
1	right	age25	right	0.557353784891918
1	left	age25	left	0.476591458526798
1	right	age25	right	0.677660694392574
1	right	age25	right	0.925496653432029
1	left	age25	left	0.949755286241685
1	left	age25	left	0.842381948885262
1	right	age25	right	1.25398270261158
1	right	age25	right	1.00157035468534
2	left	age17	left	0.593014667184573
2	right	age17	right	0.376586795570914
2	right	age17	right	0.460510276786622
2	right	age17	right	0.376808363545748
2	left	age17	left	0.53066479290302
2	right	age17	right	0.413729730357916
2	right	age17	left	0.497438871987329
2	left	age17	left	0.369505814988069
2	right	age17	left	0.633074569859216
2	right	age17	right	0.452320985509533
2	right	age17	right	0.4080662000706
2	left	age17	left	0.348124147307819
2	right	age17	right	0.419270874023575
2	right	age17	right	0.341397808664075
2	left	age17	right	0.874263370096057
2	left	age17	left	0.497271643076644
2	left	age17	left	0.469343165047022
2	right	age17	right	0.441042240716153
2	left	age17	right	0.673983814496522
2	right	age17	left	0.666422011979683
2	right	age17	left	0.407254009974719
2	left	age17	left	0.633853183748054
2	right	age17	left	0.641878862712913
2	right	age17	right	0.640538449115572
2	right	age17	right	0.360176678404303
2	left	age17	right	0.478652997156371
2	right	age17	left	0.522369865638214
2	right	age17	left	0.393689038722075
2	left	age17	left	0.896126704762542
2	left	age17	left	0.449458276292955
2	right	age17	right	0.440604081607439
2	right	age17	right	0.488588844785249
2	right	age17	right	0.569170777522988
2	right	age17	left	0.398827601022461
2	left	age17	left	0.433969737338643
2	right	age17	right	0.627184338834483
2	right	age17	right	0.587033718131618
2	right	age17	left	0.384470022800108
2	left	age17	right	0.442160257280394
2	left	age17	right	0.57936539424676
2	left	age17	left	0.35730243163491
2	left	age17	left	0.456206913245016
2	left	age17	left	1.01439673844614
2	right	age17	right	0.482927082767588
2	right	age17	left	0.376292946916608
2	right	age17	left	0.511362723878371
2	left	age17	right	0.456302239018597
2	right	age17	right	0.645907630196342
2	left	age17	right	0.742022567184039
2	left	age17	left	0.504238902398626
2	right	age17	right	0.415653272652033
2	left	age17	right	0.387338999353018
2	right	age17	right	0.474188820755907
2	right	age17	right	0.469345498828309
2	right	age17	right	0.356825521824582
2	left	age17	left	0.512462487319972
2	right	age17	right	0.37953812148827
2	right	age17	right	0.464295234704973
2	left	age17	right	0.41483019764741
2	right	age17	left	0.414454504002568
2	left	age17	left	0.425675935271933
2	left	age17	right	1.25183850437742
2	right	age17	right	0.394629162342972
2	right	age17	left	0.558685203364837
2	left	age17	right	0.595237771017813
2	left	age17	left	0.605495872132291
2	right	age17	left	0.446484520637845
2	left	age17	left	0.384872257745075
2	right	age17	right	0.72658622333808
2	left	age17	right	0.401614864845679
2	left	age17	left	0.470585769058376
2	left	age17	left	0.543904218549469
2	left	age17	left	0.429384640667598
2	left	age17	left	0.448527152751686
2	left	age17	left	0.618906876310036
2	left	age17	left	0.372687141316297
2	left	age17	left	0.467148355386722
2	right	age17	right	0.365420172755282
2	right	age17	left	0.401964259320223
2	left	age17	right	0.797689729294853
2	left	age17	left	0.391578785694137
2	left	age17	left	0.485512303159333
2	left	age17	right	0.368128895735102
2	left	age17	right	0.52957995960141
2	left	age17	left	0.424901815433923
2	left	age17	left	0.420553346501162
2	left	age17	right	0.447397004735251
2	right	age17	right	0.46910556039601
2	right	age17	right	0.685703813171968
2	right	age17	left	0.353788983138756
2	right	age17	right	0.41824014770219
2	right	age17	right	0.409861837493303
2	left	age17	left	0.37381077214276
2	left	age17	right	0.396007714042697
2	right	age17	left	0.460456015470212
2	left	age17	left	0.699103127476911
2	left	age17	right	0.439520872418649
2	left	age17	left	0.938612141037529
2	left	age17	left	0.382852898872924
2	left	age17	left	0.72917845793917
2	right	age17	left	0.741292713109715
2	right	age17	right	0.72501172188069
2	right	age17	right	0.391669563002028
2	right	age17	left	0.344172375881369
2	left	age17	right	0.409403932732556
2	right	age17	right	0.621316471429468
2	right	age17	right	0.39305461738391
2	right	age17	left	0.378246243395443
2	left	age17	right	0.629617201849283
2	right	age17	left	0.561194307512195
2	right	age17	right	0.433656349875617
2	right	age17	right	0.412042336767416
2	left	age17	left	0.415552850818994
2	right	age17	left	0.47771887043413
2	left	age17	right	0.396272894187262
2	left	age17	left	0.352089127924625
2	left	age17	right	0.454476421318981
2	right	age17	left	0.42409533350633
2	right	age17	right	0.363178950080378
2	left	age17	right	0.434494672785008
2	right	age17	left	0.3539059507451
2	left	age17	right	0.426482864086683
2	right	age17	left	0.355801932297078
2	right	age17	right	0.483386205746485
2	left	age17	left	0.516574380362131
2	left	age17	left	0.505038812285071
2	right	age17	left	0.42656471581116
2	right	age17	right	0.398609667197699
2	left	age17	left	0.463574178171328
2	right	age17	right	0.349918460416881
2	left	age17	left	0.446414049532867
2	left	age17	right	0.468715706645234
2	left	age17	left	0.40691645072114
2	right	age17	left	0.353845387599915
2	right	age17	left	0.376593123160333
2	right	age17	left	0.610667859416548
2	right	age17	left	0.570832254359372
2	right	age17	right	0.377973727448581
2	right	age17	right	0.385711967581628
2	left	age17	left	0.66600176716764
2	right	age17	right	0.506068025223533
2	left	age17	right	0.505068497192497
2	left	age17	right	0.562359864706105
2	left	age17	right	0.617793070172837
2	left	age17	left	0.547641098870253
2	left	age17	right	0.487820097515479
2	right	age17	right	0.493974342024403
2	right	age17	left	0.499170031792351
2	right	age17	left	0.370683477895432
2	right	age17	left	0.365196001082732
2	left	age17	right	0.505095842933993
2	left	age17	right	0.848635859929188
2	left	age17	right	0.352928677913301
2	left	age17	left	0.575828737009274
2	left	age17	left	0.553457390623569
2	left	age17	left	0.43174147841734
2	right	age17	right	0.432936357708294
2	left	age17	left	0.463974297669079
2	right	age17	right	0.648563095600524
2	right	age17	right	0.618170710514033
2	right	age17	right	0.416371360959081
2	right	age17	right	0.441576848176644
2	left	age17	left	0.549117365702884
2	right	age17	left	0.64181412887098
2	left	age17	left	0.38709515777692
2	left	age17	right	0.371781056488137
2	left	age17	left	0.467299645552305
2	right	age17	left	0.35938299349148
2	right	age17	right	0.649628911569717
2	left	age17	left	0.553933370532912
2	left	age17	right	0.525549881786089
2	left	age17	left	0.426608318026965
2	right	age17	right	0.400919032709491
2	right	age17	right	0.401873733258486
2	left	age17	left	0.439127235799234
2	left	age17	right	0.374958677591398
2	left	age17	right	0.454096329858003
2	right	age17	right	1.16598231651504
2	right	age17	right	0.401798701701102
2	left	age17	right	0.354627676359972
2	right	age17	left	0.496060235011543
2	right	age17	left	0.561132805208026
2	left	age17	left	0.770554241812662
2	left	age17	left	0.408679237910336
2	right	age17	left	0.466398010446186
2	left	age17	left	0.655641234147489
2	right	age17	right	0.499093606043973
2	right	age17	right	0.397374317272211
2	left	age17	left	0.409599971008342
2	left	age17	left	0.409456928056939
2	right	age17	right	0.35196365035368
2	right	age17	left	0.430971335729811
2	left	age17	left	0.613689031241686
2	right	age17	right	0.46682527782612
2	right	age17	right	0.558711279922577
2	right	age17	right	0.538453749642586
2	left	age17	right	0.405159755933757
2	right	age17	right	0.70674559800966
2	left	age17	left	0.781958157510738
2	right	age17	left	0.40701364327511
2	left	age17	left	0.889992304183
2	left	age17	right	0.459324833099097
2	left	age17	right	0.882030410430078
2	right	age17	right	0.440267869126042
2	right	age17	left	0.635124400952651
2	left	age17	left	0.37749804523473
2	right	age17	left	0.346522757533822
2	left	age17	left	0.418196882764534
2	left	age17	left	0.367974231928034
2	left	age17	left	0.463468730128562
2	left	age17	left	0.434072318993942
2	right	age17	left	0.434391357732434
2	right	age17	left	0.89805092555188
2	left	age17	left	0.584384615691379
2	right	age17	right	0.356385593571679
2	left	age17	left	0.746007117937196
2	left	age17	right	0.510045815146828
2	left	age17	left	0.381192584575598
2	left	age17	left	0.411169418331549
2	left	age17	left	0.46920739085655
2	right	age17	left	0.410069576315593
2	right	age17	right	0.442167341788222
2	left	age17	right	0.389474837045029
2	right	age17	left	0.342374785232788
2	left	age17	left	0.381290350741265
2	right	age17	right	0.376677915291515
2	right	age17	left	0.344610152170643
2	left	age17	left	0.411390910570489
2	right	age17	right	0.361525702450829
2	right	age17	left	0.730588922474689
2	left	age25	left	0.547936005228375
2	left	age25	left	0.595659782678346
2	left	age25	left	0.545766029653543
2	right	age25	right	0.576504560228983
2	right	age25	right	0.4614302348714
2	left	age25	right	0.385323316818158
2	left	age25	left	0.570487983682068
2	left	age25	right	0.532981605328986
2	left	age25	right	0.613105804627554
2	left	age25	left	0.393554286748414
2	left	age25	right	0.39674156732302
2	right	age25	left	0.841931578612792
2	left	age25	left	0.456775962177554
2	right	age25	right	0.891727914407193
2	right	age25	right	0.405813763896249
2	left	age25	left	0.453967282723577
2	left	age25	left	0.686575221731324
2	left	age25	left	0.434084547414411
2	right	age25	left	1.19994548190886
2	right	age25	right	0.67976677296387
2	left	age25	left	0.352091258660074
2	left	age25	left	0.803911331832802
2	left	age25	left	0.396281794007172
2	right	age25	right	0.819681769417901
2	right	age25	left	0.470412687899046
2	left	age25	left	0.398143789342209
2	right	age25	right	0.726488824407069
2	left	age25	left	0.424673276083363
2	right	age25	left	1.6280702108168
2	right	age25	left	0.663393823134153
2	left	age25	left	0.511716168326745
2	left	age25	right	0.523499192950507
2	left	age25	right	0.716391258354453
2	left	age25	left	0.516710253334303
2	left	age25	right	0.788592009978241
2	right	age25	left	0.646080799350823
2	left	age25	left	0.610127376350253
2	right	age25	left	0.532616849015886
2	left	age25	left	0.865432389027701
2	left	age25	left	0.734621949496812
2	right	age25	right	0.527864294555297
2	right	age25	right	1.08543936571704
2	right	age25	left	0.745126000248185
2	left	age25	right	0.785939128422614
2	left	age25	left	1.07045820385588
2	right	age25	left	0.52536633363679
2	right	age25	right	1.06497482689346
2	left	age25	left	0.56958405331083
2	left	age25	left	0.418759539172441
2	right	age25	left	0.530805488872012
2	right	age25	right	0.531167735548613
2	left	age25	left	0.869940456291155
2	right	age25	right	1.09063262990217
2	left	age25	right	0.524077116256079
2	left	age25	left	0.392478056468349
2	left	age25	left	0.531491024014031
2	left	age25	left	0.457302239929533
2	left	age25	left	0.515878985543274
2	right	age25	right	0.685198363967728
2	left	age25	left	0.505917295677059
2	right	age25	right	0.47087367121552
2	right	age25	right	0.526999469334501
2	left	age25	left	0.453965344526213
2	left	age25	right	0.918575933367497
2	right	age25	right	0.939471572261947
2	right	age25	right	1.14103976211721
2	right	age25	right	0.645246465506886
2	right	age25	right	0.447943597874384
2	right	age25	right	0.736817678561735
2	right	age25	left	0.781819519036009
2	right	age25	left	0.694310092644932
2	right	age25	left	0.545285385866956
2	left	age25	left	0.627331965845986
2	right	age25	right	0.453320691513611
2	left	age25	left	0.426373842535482
2	left	age25	left	0.527967855545256
2	left	age25	left	0.65736591348984
2	left	age25	right	0.821804747423689
2	left	age25	right	0.456587054520989
2	left	age25	left	0.640980115986863
2	left	age25	right	0.385563337967259
2	left	age25	left	0.438646908453237
2	left	age25	left	0.629096558379234
2	left	age25	left	0.740795377080165
2	right	age25	left	0.405535186686959
2	left	age25	left	0.787855640894597
2	left	age25	left	0.58415394365144
2	right	age25	right	1.73478344492315
2	right	age25	right	0.87590671907842
2	right	age25	left	0.606847818721006
2	left	age25	right	0.50523610146766
2	left	age25	left	0.763824005064051
2	right	age25	right	0.538062615794592
2	left	age25	left	0.679807256086878
2	right	age25	right	0.893541224097505
2	left	age25	left	0.548297645325727
2	right	age25	left	0.690014464376464
2	left	age25	left	0.613923592976811
2	right	age25	right	0.616818682678378
2	right	age25	right	0.874892350840233
2	left	age25	left	0.869728930271342
2	left	age25	right	0.529007158828812
2	right	age25	right	0.66209462540843
2	right	age25	right	1.1402683429052
2	right	age25	right	0.453570918003902
2	left	age25	right	0.581593868659893
2	right	age25	right	0.481942227358393
2	left	age25	right	0.642885216428686
2	right	age25	right	0.471938327336716
2	left	age25	right	0.483974248624247
2	right	age25	left	1.31356087426995
2	right	age25	right	0.425313351333099
2	left	age25	left	0.739762165573107
2	left	age25	left	0.737963996964668
2	left	age25	right	0.737811070311797
2	right	age25	right	0.922047601232823
2	left	age25	left	0.845363654756258
2	right	age25	left	0.59570264156492
2	right	age25	right	0.629492517202305
2	right	age25	right	0.598378792549587
2	left	age25	left	0.556984722069917
2	right	age25	left	0.817058613349613
2	left	age25	right	0.545030359643736
2	left	age25	left	0.638889211107357
2	right	age25	right	0.738923232752533
2	right	age25	right	0.423599473919586
2	right	age25	left	0.649745938908165
2	right	age25	right	0.766198315298766
2	left	age25	right	0.844896523658479
2	right	age25	left	0.459062461911213
2	right	age25	right	0.518140959492042
2	right	age25	right	0.594142893073516
